Elapsed	LV66-A_dCas9	LV66-B_dCas9	LV66-C_dCas9	LV66-D_dCas9	LV66-E_dCas9	LV66-F_dCas9	LV66-A_Cas9	LV66-B_Cas9	LV66-C_Cas9	LV66-D_Cas9	LV66-E_Cas9	LV66-F_Cas9	LV66-A_dCas9 (Std Err Well)	LV66-B_dCas9 (Std Err Well)	LV66-C_dCas9 (Std Err Well)	LV66-D_dCas9 (Std Err Well)	LV66-E_dCas9 (Std Err Well)	LV66-F_dCas9 (Std Err Well)	LV66-A_Cas9 (Std Err Well)	LV66-B_Cas9 (Std Err Well)	LV66-C_Cas9 (Std Err Well)	LV66-D_Cas9 (Std Err Well)	LV66-E_Cas9 (Std Err Well)	LV66-F_Cas9 (Std Err Well)
20	28.47545	34.95933	35.53817	30.08268	28.19232	33.69358	23.28921	19.42791	18.02622	22.31842	17.89213	21.1157	1.490888	10.38426	2.856339	1.505543	2.009431	2.615559	3.347486	1.521072	2.2381	3.39238	2.358625	2.997259
22	29.83231	36.81913	37.02647	31.36284	29.46412	34.73508	25.48532	20.97324	19.82577	23.96044	19.5052	21.89528	1.372393	9.101435	2.30018	0.8667316	1.857825	3.208857	3.473599	1.697096	1.835653	3.262041	2.293558	2.823687
24	30.33259	37.80154	37.54338	31.53184	29.77379	35.2536	25.049	21.52465	19.89259	24.16231	19.28209	22.09305	1.676305	9.669989	2.651209	1.326262	2.303869	3.360545	3.498481	1.834172	2.264083	3.677444	2.379578	3.349321
26	30.95275	38.51321	38.32935	32.20189	30.40667	35.52673	25.75008	21.96394	20.4126	24.82069	19.77339	22.75985	1.902359	9.901581	2.717113	1.388629	2.465061	2.49435	3.50594	1.972807	2.264756	3.670782	2.398926	3.300612
28	31.10606	39.01714	38.59858	32.51623	30.76721	35.96502	26.37393	22.76957	20.9775	25.49671	20.14637	23.22766	1.407905	9.993086	2.761503	1.433964	2.645779	2.503185	3.547594	1.996286	2.384478	3.855047	2.394253	3.347713
30	31.15927	39.2663	38.50247	32.32734	30.94678	37.09906	26.42571	22.91296	21.01402	25.70597	20.38076	23.45428	1.41396	10.39461	2.577051	1.877998	2.699831	3.325089	3.677495	1.9955	2.555417	3.890579	2.416403	3.479044
32	32.13606	40.12216	39.62502	33.363	31.71253	37.24656	26.90304	23.45886	21.68659	26.3618	21.01053	24.03266	1.748746	10.55766	2.810765	1.436088	2.617838	2.663071	3.622975	1.972686	2.485946	4.104205	2.477727	3.566424
34	32.91963	41.15149	40.63382	34.36618	32.53006	38.32027	27.22607	23.95443	21.84313	26.74084	21.63834	24.38341	1.696007	10.81917	2.662113	1.57819	2.810537	2.775417	3.706291	2.044705	2.52999	4.138695	2.625536	3.628899
36	33.33997	42.08904	41.60003	35.16596	33.64078	38.60531	27.51955	24.37151	22.33717	27.18229	22.53977	25.21317	1.785058	10.94532	3.192765	1.844761	2.842432	3.457521	3.805364	1.966221	2.506009	4.19544	2.697577	3.632559
38	34.6114	43.45374	43.03981	36.53338	35.10494	40.7772	27.66462	24.8971	22.77916	27.55704	23.85164	26.30576	2.191076	10.96679	3.154387	1.743479	2.88431	2.744493	3.697906	1.960725	2.49005	4.324941	2.775191	3.667844
40	36.36314	45.01665	44.90165	38.19827	36.86644	43.14852	28.56192	25.81426	23.7388	28.57946	25.3314	27.8739	1.823286	10.87332	3.043249	1.838245	2.84677	3.708673	3.783944	2.034867	2.537395	4.244496	2.997278	3.876258
42	37.29365	46.64584	46.31807	39.77477	38.50269	44.80626	28.7703	26.58364	24.50174	29.24961	27.01812	29.42243	1.583048	11.13364	2.801579	1.784947	3.215117	3.754238	4.04953	1.86039	2.659894	4.424913	3.167948	4.156787
44	38.65799	48.58242	47.94519	41.50625	40.23119	47.15894	29.62171	28.10584	25.54715	30.50113	28.80892	31.12589	1.411711	11.05029	2.807867	1.950352	3.463863	3.889824	4.167922	2.204169	2.817422	4.532492	3.412465	4.18759
