Elapsed	A1.1	A1.2	A1.3	A1.4	A1.5	A1.6	A1.7	A1.8	A1.9	A1.10	A1.11	A1.12	A1.13	A1.14	A1.15	A1.16	A1.17	A1.18	A1.19	A1.20	A1.21	A1.22	A1.23	A1.24	A1.25	B1.1	B1.2	B1.3	B1.4	B1.5	B1.6	B1.7	B1.8	B1.9	B1.10	B1.11	B1.12	B1.13	B1.14	B1.15	B1.16	B1.17	B1.18	B1.19	B1.20	B1.21	B1.22	B1.23	B1.24	B1.25	C1.1	C1.2	C1.3	C1.4	C1.5	C1.6	C1.7	C1.8	C1.9	C1.10	C1.11	C1.12	C1.13	C1.14	C1.15	C1.16	C1.17	C1.18	C1.19	C1.20	C1.21	C1.22	C1.23	C1.24	C1.25	D1.1	D1.2	D1.3	D1.4	D1.5	D1.6	D1.7	D1.8	D1.9	D1.10	D1.11	D1.12	D1.13	D1.14	D1.15	D1.16	D1.17	D1.18	D1.19	D1.20	D1.21	D1.22	D1.23	D1.24	D1.25	A12.1	A12.2	A12.3	A12.4	A12.5	A12.6	A12.7	A12.8	A12.9	A12.10	A12.11	A12.12	A12.13	A12.14	A12.15	A12.16	A12.17	A12.18	A12.19	A12.20	A12.21	A12.22	A12.23	A12.24	A12.25	B12.1	B12.2	B12.3	B12.4	B12.5	B12.6	B12.7	B12.8	B12.9	B12.10	B12.11	B12.12	B12.13	B12.14	B12.15	B12.16	B12.17	B12.18	B12.19	B12.20	B12.21	B12.22	B12.23	B12.24	B12.25	C12.1	C12.2	C12.3	C12.4	C12.5	C12.6	C12.7	C12.8	C12.9	C12.10	C12.11	C12.12	C12.13	C12.14	C12.15	C12.16	C12.17	C12.18	C12.19	C12.20	C12.21	C12.22	C12.23	C12.24	C12.25	D12.1	D12.2	D12.3	D12.4	D12.5	D12.6	D12.7	D12.8	D12.9	D12.10	D12.11	D12.12	D12.13	D12.14	D12.15	D12.16	D12.17	D12.18	D12.19	D12.20	D12.21	D12.22	D12.23	D12.24	D12.25
44	1.947211	2.26599	2.57805	2.341051	1.57811	1.836121	2.278559	1.986957	2.821347	2.000626	1.928369	1.929654	1.908713	2.500303	2.586519	1.820295	1.94952	2.25459	1.970874	2.749873	1.419789	1.75093	2.055278	2.302628	3.043207	2.375078	2.109557	2.465504	2.57699	1.921819	2.041515	2.288064	2.506303	2.658912	2.310844	2.033089	1.945285	2.029219	2.312786	2.608037	2.059378	1.907115	2.060747	2.421015	2.418112	1.96795	1.903432	1.960034	1.864916	1.988358	2.795252	3.09271	2.492569	2.741253	2.03317	3.57636	3.371126	3.516066	3.100315	3.120828	2.833084	2.746624	2.968895	3.869385	3.811468	2.764563	2.919692	2.47194	2.5237	2.303658	2.817787	2.628244	2.713356	2.417077	1.753988	2.013036	2.045968	2.101702	2.029887	1.683065	2.226816	2.298424	3.230792	2.930546	2.794643	3.058721	2.516605	3.161817	3.223622	3.3611	3.158644	3.577177	2.750521	2.701139	1.957172	3.047848	2.505796	2.686301	2.032654	1.542703	2.209439	2.168212	2.247346	2.844153	2.397681	2.116889	2.337004	2.400848	2.624377	2.810931	2.164133	2.347306	2.16834	3.399647	2.564181	2.281593	1.94761	2.606224	2.260374	2.321651	2.454202	2.635396	2.452289	2.074214	2.25668	2.118006	2.324499	2.440756	2.594242	3.03599	2.573966	2.41263	2.414534	2.739049	2.911726	2.744602	2.250239	2.509164	2.32141	2.833439	2.844101	2.782234	2.552906	2.705811	2.25677	2.553521	2.828756	2.82729	2.276055	2.281608	2.575907	2.90324	2.584079	3.253557	3.436032	2.424099	2.936969	3.874865	3.593152	3.836786	3.179617	4.157542	3.984727	3.745188	3.355102	4.184882	3.519122	3.555839	3.165746	3.353843	2.821295	2.814273	2.736712	2.443199	2.686488	4.14281	3.724501	3.691381	2.321448	1.961556	3.352371	3.313252	3.321413	2.800735	2.166774	3.034805	2.838796	2.487947	2.524755	2.160332	2.866757	3.145005	2.889424	3.510372	2.226103	2.566024	2.981448	2.985502	3.97612	3.168907
46	1.278995	1.336355	1.706113	1.808754	1.537503	1.369794	1.623742	1.242395	2.22928	1.858805	1.482628	1.334864	1.546819	2.650393	2.103595	1.511418	1.525274	1.937748	1.902161	2.156372	1.285528	1.513749	1.617674	1.499516	2.421968	1.761809	1.715959	2.337985	2.265405	1.782772	1.426232	1.722238	2.266602	2.337031	1.979017	1.613026	1.56908	1.693031	2.222788	1.907164	1.695649	1.479398	1.865151	2.366792	1.816066	1.663939	1.574383	1.80058	1.710142	1.76908	2.820209	3.108005	2.506525	2.751206	2.043525	3.685978	3.464824	3.574681	3.140946	3.118197	2.853083	2.759892	3.034659	4.055758	3.978146	2.796398	2.943861	2.49685	2.574064	2.323658	2.869303	2.618075	2.745098	2.446024	1.754682	2.018832	2.050858	2.113302	2.03331	1.683349	2.230867	2.30942	3.287558	2.930336	2.815654	3.114682	2.505635	3.240479	3.282348	3.422188	3.260226	3.632576	2.822012	2.777161	1.955387	3.086099	2.533407	2.700892	2.03632	1.542703	1.95401	1.945307	1.858683	2.331481	2.845405	1.700419	1.878456	1.84894	2.259677	3.100268	1.851815	1.807414	2.343842	2.697648	1.928077	1.578277	1.350441	3.394456	1.958606	1.915402	1.669408	2.189947	2.731178	1.960749	2.024143	1.733935	1.925582	2.07672	2.088938	1.937095	2.047558	1.846189	2.280613	2.374612	2.247655	1.781575	1.534565	3.589346	3.336769	2.293812	1.912566	2.177584	2.473963	2.675678	2.107267	1.685441	2.108005	2.406955	1.865637	2.039483	2.601078	2.940616	2.592217	3.283557	3.430931	2.446811	2.992051	3.975372	3.646346	3.931545	3.236294	4.273339	4.10801	3.818902	3.377767	4.362031	3.631519	3.627446	3.24525	3.361743	2.903015	2.853236	2.783547	2.433462	2.656239	4.311849	3.855149	3.63563	2.307076	1.962743	3.404805	3.358408	3.307346	2.740376	2.169158	3.079017	2.841632	2.509423	2.574111	2.179552	2.900047	3.164656	2.903565	3.519733	2.227463	2.589196	3.007947	2.965718	3.907201	3.142317
48	1.130409	1.174555	1.698128	1.915168	1.540308	1.210333	1.405801	1.194262	2.290323	1.868313	1.334561	1.127715	1.481014	2.721164	2.121244	1.432058	1.406088	1.785267	1.894767	2.238407	1.240613	1.442097	1.622142	1.519086	2.507083	1.751166	1.714835	2.351902	2.386423	1.768621	1.419112	1.636756	2.20412	2.308141	1.946542	1.564677	1.460131	1.57821	2.270493	1.974739	1.492871	1.34147	1.839051	2.355554	1.835032	1.599662	1.544328	1.757224	1.722028	1.75307	2.952273	3.272293	2.596886	2.835318	2.071419	3.925508	3.657522	3.737035	3.294163	3.22112	2.923908	2.812292	3.137605	4.275973	4.193144	2.887295	3.029973	2.5582	2.639128	2.334813	2.9914	2.694599	2.794334	2.488829	1.754682	2.037564	2.085537	2.126737	2.050634	1.683349	2.265691	2.338842	3.40896	3.014248	2.9127	3.276178	2.600958	3.340571	3.398191	3.601367	3.405209	3.840731	2.941437	2.873034	1.971323	3.210829	2.609827	2.803594	2.058502	1.542703	1.958832	1.928463	1.830776	2.291816	2.794037	1.634615	1.817922	1.786652	2.395438	3.070216	1.736131	1.835409	2.429372	2.740831	1.969694	1.564155	1.459581	3.468799	1.968172	1.838588	1.700142	2.20298	2.763098	1.947551	2.029691	1.634637	1.783729	1.922801	2.058346	1.822237	1.963504	1.689278	2.227658	2.309435	2.204486	1.52948	1.447267	3.506042	3.337162	2.243184	1.760074	2.050565	2.327125	2.554035	2.021325	1.611986	2.073125	2.331973	1.832531	1.926183	2.697367	3.006502	2.622824	3.40133	3.564106	2.477029	3.039762	4.098227	3.806267	4.17645	3.33436	4.47524	4.328053	4.004867	3.515829	4.666187	3.834393	3.783335	3.364933	3.496227	2.979726	2.930749	2.858657	2.466849	2.727764	4.575584	4.078089	3.815191	2.334444	1.976932	3.555767	3.499515	3.430366	2.80594	2.177845	3.194547	2.91947	2.595778	2.640947	2.211146	2.982451	3.286729	3.035628	3.725472	2.27718	2.667354	3.093002	3.044556	4.213367	3.320156
50	1.095366	1.204172	1.622819	1.868812	1.547581	1.093355	1.400678	1.099643	2.262828	1.888918	1.29222	1.149212	1.457971	2.750799	2.121856	1.358555	1.399933	1.74761	1.980559	2.325385	1.209396	1.459744	1.623509	1.656101	2.405566	1.723226	1.677659	2.296287	2.362922	1.812796	1.391732	1.654807	2.094405	2.283174	1.914246	1.517484	1.491753	1.553779	2.2411	1.948109	1.495026	1.329063	1.760948	2.32703	1.785902	1.538356	1.569046	1.682958	1.702661	1.724335	3.043081	3.392671	2.702839	2.902229	2.089414	4.104609	3.795098	3.88175	3.435863	3.321009	2.97856	2.857291	3.210375	4.496129	4.468292	2.962998	3.096185	2.593035	2.692185	2.346686	3.070046	2.748528	2.81263	2.526334	1.754682	2.046838	2.109441	2.137059	2.055735	1.683349	2.291721	2.35942	3.490117	3.084485	2.977044	3.425276	2.669002	3.405872	3.507313	3.735706	3.52004	4.005099	3.025759	2.944927	1.985956	3.294043	2.654284	2.870857	2.073455	1.542703	1.948867	1.866178	1.803712	2.185891	2.81968	1.617418	1.824411	1.817077	2.284347	3.017779	1.773598	1.856469	2.396387	2.735829	1.871813	1.558123	1.444098	3.471021	1.962116	1.883563	1.677019	2.160459	2.818751	1.985818	2.044253	1.607993	1.794281	1.883994	2.051619	1.784192	1.875598	1.659647	2.107771	2.278012	2.187063	1.556706	1.386122	3.382837	3.211629	2.173609	1.653117	2.022684	2.204019	2.54773	1.95522	1.659431	2.029186	2.32518	1.893248	1.875889	2.765658	3.058161	2.64227	3.490477	3.768603	2.491638	3.078754	4.205231	3.98974	4.426497	3.403116	4.686777	4.550781	4.186915	3.632819	4.909352	3.991346	3.896043	3.450241	3.565167	3.045247	2.996483	2.915229	2.484717	2.773114	4.859198	4.298388	4.003118	2.349465	1.984407	3.684629	3.683097	3.608003	2.869176	2.177845	3.288922	2.976525	2.666991	2.712002	2.228444	3.064038	3.371453	3.13788	3.896512	2.317463	2.728539	3.160843	3.103178	4.44964	3.468739
52	1.130268	1.263378	1.716881	2.025966	1.558677	1.160873	1.538776	1.1375	2.41954	1.927147	1.341735	1.171628	1.528915	2.956846	2.208769	1.410886	1.48225	1.842439	2.241553	2.369828	1.24654	1.514348	1.690166	1.793253	2.400082	1.76752	1.717724	2.326903	2.442527	1.841693	1.443558	1.64233	2.122944	2.401852	1.976218	1.551422	1.525787	1.614937	2.309613	2.091605	1.576728	1.395509	1.797957	2.407764	1.855627	1.547479	1.618987	1.785514	1.751224	1.772859	3.120597	3.473192	2.769707	2.953691	2.096298	4.273024	3.917437	4.012995	3.553565	3.407095	3.005928	2.897181	3.274711	4.692606	4.671726	3.012719	3.151739	2.612748	2.725493	2.353452	3.124186	2.78273	2.828759	2.551844	1.754682	2.04926	2.115338	2.140095	2.055735	1.683349	2.307297	2.372497	3.551427	3.142265	3.021545	3.551558	2.740924	3.463566	3.590975	3.862822	3.583435	4.143477	3.095065	3.020801	1.998073	3.373817	2.679747	2.93349	2.081949	1.542703	1.953275	1.890027	1.844972	2.275006	2.977738	1.692021	1.914185	1.841864	2.389124	3.070342	1.810446	1.980072	2.37337	2.824157	1.96645	1.629559	1.767473	3.56867	2.146841	1.938969	1.841599	2.315019	3.069489	2.023034	2.079333	1.693473	1.834969	1.972483	2.079291	1.902478	1.873204	1.758125	2.319156	2.312641	2.202056	1.594434	1.369016	3.397785	3.252178	2.200099	1.606631	2.083088	2.333031	2.574777	1.979385	1.691532	2.106086	2.408457	1.940334	1.927416	2.800829	3.087457	2.65714	3.565576	3.926485	2.492154	3.088526	4.290439	4.156816	4.610126	3.453413	4.872111	4.727652	4.370803	3.705343	5.117419	4.107065	3.98744	3.512937	3.589757	3.091225	3.033294	2.952597	2.489158	2.787253	5.157589	4.547132	4.177074	2.355164	1.984407	3.800682	3.844836	3.772021	2.912481	2.177845	3.368726	3.031506	2.731566	2.7565	2.238122	3.118336	3.426224	3.218699	4.061542	2.353885	2.767981	3.20845	3.17581	4.715885	3.627012
54	1.131269	1.251844	1.634923	2.066754	1.553923	1.125104	1.452743	1.130132	2.430902	1.92073	1.330773	1.131493	1.459789	2.868365	2.139227	1.413057	1.486877	1.751282	2.120711	2.219116	1.244148	1.525908	1.715833	1.94459	2.347394	1.762355	1.688939	2.309418	2.400829	1.859822	1.423717	1.599792	2.086526	2.445629	1.990345	1.534741	1.511979	1.561592	2.377456	2.066581	1.560264	1.393919	1.771193	2.417918	1.802082	1.52844	1.618912	1.78516	1.733121	1.763214	3.142461	3.508637	2.816866	2.981138	2.098579	4.364049	3.990664	4.066968	3.636814	3.462614	3.028007	2.914361	3.309409	4.820658	4.810797	3.04384	3.174434	2.627148	2.743902	2.356693	3.148782	2.803813	2.833029	2.568109	1.754682	2.04966	2.116053	2.142052	2.055735	1.683349	2.314341	2.37605	3.589161	3.179976	3.051637	3.641426	2.773131	3.491136	3.635669	3.935982	3.649226	4.189133	3.154049	3.069792	2.007368	3.425459	2.695428	2.960501	2.082595	1.542703	1.956818	1.888028	1.761081	2.201743	2.778122	1.657572	1.890365	1.772235	2.302945	2.997802	1.812845	1.949935	2.299903	2.760033	1.875377	1.608788	1.806811	3.454244	2.034628	1.923686	1.742211	2.46272	3.056492	1.988593	2.082858	1.672147	1.839389	2.007518	2.000184	1.800587	1.846729	1.734431	2.214687	2.22431	1.99265	1.525164	1.394485	3.25942	3.138179	2.158048	1.492287	1.958549	2.225084	2.571063	1.985464	1.682671	2.07266	2.364142	1.902225	1.917665	2.819169	3.101006	2.660619	3.614957	3.987612	2.492154	3.094224	4.337113	4.239707	4.716611	3.475844	4.977249	4.830657	4.473852	3.748261	5.236675	4.205976	4.03555	3.541845	3.61016	3.122771	3.046466	2.972587	2.491604	2.790414	5.333325	4.651947	4.284899	2.357993	1.984407	3.900253	3.977903	3.923749	2.933773	2.177845	3.418138	3.071056	2.772174	2.780202	2.243272	3.159118	3.45964	3.268755	4.216932	2.367425	2.795336	3.249686	3.212259	4.879431	3.739848
56	1.162997	1.284766	1.676195	2.080631	1.552213	1.156964	1.483187	1.166355	2.744864	1.923677	1.337859	1.154677	1.466018	3.024176	2.19336	1.42262	1.521171	1.81927	2.262259	2.188891	1.261937	1.531243	1.758768	2.100789	2.379939	1.818367	1.724242	2.379175	2.450358	1.845866	1.446119	1.652646	2.234292	2.586854	1.944028	1.564548	1.527193	1.641362	2.616054	2.123209	1.588242	1.416235	1.80846	2.490511	1.853171	1.578958	1.652171	1.807894	1.776294	1.763431	3.172225	3.529441	2.8514	2.993639	2.098195	4.460816	4.08222	4.137377	3.720858	3.498588	3.048378	2.931179	3.346156	4.921297	4.973389	3.057243	3.201681	2.64324	2.760983	2.359729	3.179113	2.821204	2.83937	2.579058	1.754682	2.04966	2.117052	2.14296	2.055735	1.683349	2.320203	2.37769	3.633186	3.20826	3.070346	3.718074	2.799056	3.51247	3.714356	4.02778	3.691332	4.285237	3.190615	3.099692	2.016116	3.456436	2.706587	2.987159	2.082642	1.542703	1.96847	1.907561	1.751552	2.238902	2.828776	1.680231	1.900002	1.788699	2.319016	3.019313	1.815568	1.96483	2.377612	2.824312	1.982491	1.616639	1.949615	3.712794	2.159301	1.938526	1.739253	2.677793	3.141851	1.991112	2.102575	1.676624	1.856611	1.986055	2.082174	1.828107	1.872732	1.757411	2.339883	2.258487	1.968789	1.561036	1.410369	3.337798	3.149722	2.131056	1.54082	2.079026	2.373428	2.593574	1.977425	1.740699	2.145535	2.520282	1.928552	1.923493	2.832817	3.112057	2.662552	3.640167	4.075336	2.492154	3.09799	4.368526	4.322378	4.834933	3.499013	5.071151	4.926218	4.563632	3.791275	5.353271	4.288988	4.077746	3.570668	3.627801	3.14713	3.060565	2.989108	2.492549	2.790414	5.529111	4.817734	4.400451	2.358752	1.984407	3.99332	4.098948	4.065657	2.96284	2.177845	3.448375	3.113883	2.832508	2.80742	2.246519	3.187887	3.47408	3.295396	4.36418	2.385221	2.814961	3.277787	3.265702	5.041982	3.850273
58	1.148934	1.301214	1.81271	2.100764	1.548082	1.145572	1.466025	1.201297	2.819316	1.891201	1.337996	1.154332	1.4289	3.510809	2.109627	1.401956	1.516987	1.885267	2.50908	2.175127	1.260904	1.527137	1.736831	2.064868	2.360949	1.788556	1.673322	2.344407	2.398333	1.820881	1.441856	1.626254	2.338151	2.548818	1.970621	1.594953	1.521771	1.663621	2.827449	2.089267	1.577831	1.427046	1.88493	2.507764	1.935722	1.586728	1.652783	1.847302	1.76443	1.773678	3.207994	3.567449	2.887941	3.004208	2.099412	4.52106	4.147489	4.195678	3.78062	3.54569	3.058184	2.940683	3.372954	5.010878	5.130779	3.079977	3.217989	2.651433	2.774523	2.362519	3.199848	2.825708	2.840133	2.596634	1.754682	2.04966	2.117052	2.143329	2.055735	1.683349	2.322611	2.379162	3.643643	3.229221	3.085285	3.784446	2.822194	3.52652	3.757653	4.082195	3.720824	4.33795	3.223269	3.123436	2.019297	3.476535	2.71377	3.001755	2.082642	1.542703	1.931811	1.898499	1.719009	2.194527	2.792423	1.675953	1.872358	1.73949	2.34361	2.982193	1.810495	2.033722	2.370222	2.80669	1.967469	1.607273	2.349404	4.004941	2.188156	1.933132	1.841647	2.779229	3.101763	1.98926	2.094204	1.682231	1.851182	2.008455	2.074616	1.845961	1.87479	1.816383	2.429516	2.298107	1.995214	1.587221	1.469338	3.425144	3.258377	2.170583	1.560931	2.145463	2.536191	2.571527	1.980595	1.759786	2.185884	2.441469	1.879757	1.918102	2.843189	3.117842	2.662964	3.656606	4.148096	2.492154	3.101294	4.420116	4.404803	4.918195	3.517439	5.169131	5.026049	4.642934	3.811821	5.439121	4.360019	4.099874	3.59173	3.647352	3.159244	3.069581	3.007839	2.492549	2.790414	5.650939	4.943964	4.5152	2.358752	1.984407	4.044445	4.211048	4.189432	2.976632	2.177845	3.46506	3.144229	2.869621	2.831838	2.247955	3.208423	3.479944	3.319182	4.498279	2.405614	2.832563	3.309871	3.300368	5.224924	3.951069
60	1.128636	1.230694	1.792863	2.001975	1.528323	1.138002	1.511132	1.263622	2.653785	1.880859	1.314206	1.150432	1.474622	3.877641	2.092869	1.400562	1.515725	2.005396	2.853214	2.149172	1.253749	1.517296	1.737856	1.941576	2.338568	1.858958	1.696566	2.360875	2.344613	1.825283	1.439742	1.657182	2.580008	2.525759	1.93616	1.570309	1.5179	1.830888	2.86937	2.058594	1.577545	1.423394	1.925303	2.513531	1.939605	1.556777	1.662405	1.824467	1.732743	1.752605	3.235403	3.589878	2.919836	3.01147	2.099899	4.556389	4.218417	4.242776	3.837363	3.563451	3.071135	2.945527	3.400407	5.089193	5.261526	3.088826	3.232892	2.661587	2.782026	2.366423	3.212017	2.842061	2.842647	2.607324	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.378543	3.660607	3.246316	3.106236	3.816723	2.845009	3.542889	3.80628	4.143938	3.766559	4.38692	3.260271	3.176734	2.022066	3.494477	2.719224	3.018514	2.082642	1.542703	1.896231	1.880161	1.712894	2.18258	2.759436	1.639261	1.887249	1.731454	2.423124	2.924395	1.80746	2.041904	2.335509	2.876321	1.945432	1.627611	3.102587	4.337022	2.315398	1.937426	1.891486	2.593817	3.057539	1.947349	2.10292	1.676507	1.863288	1.994284	2.083393	1.84047	1.88783	1.810786	2.545206	2.316534	1.940809	1.616038	1.532709	3.515784	3.149433	2.088838	1.614102	2.374377	2.595504	2.534304	1.966881	1.736416	2.149762	2.453419	1.885698	1.911058	2.851404	3.120817	2.662961	3.678109	4.206023	2.492154	3.101221	4.452221	4.465511	4.992256	3.530097	5.255138	5.13888	4.704713	3.832349	5.512427	4.434695	4.124745	3.599504	3.659983	3.163745	3.078042	3.012022	2.492549	2.790414	5.779347	5.10694	4.62658	2.358752	1.984407	4.122297	4.325247	4.332657	2.996986	2.177845	3.490698	3.200275	2.896967	2.850317	2.248245	3.219158	3.4807	3.344142	4.631532	2.412776	2.843304	3.32535	3.339184	5.368902	4.015203
62	1.125697	1.285359	1.771741	1.868723	1.502845	1.121958	1.437598	1.592141	2.606798	1.83402	1.263978	1.156766	1.48166	3.872471	2.06632	1.37198	1.520299	2.060161	2.865781	2.203254	1.240585	1.495673	1.697863	1.991443	2.415817	1.818913	1.716152	2.270798	2.311405	1.78621	1.393479	1.675805	2.707791	2.489187	1.942583	1.541171	1.466483	2.080492	2.737994	2.087729	1.577103	1.410395	1.879484	2.548458	1.922747	1.554973	1.642621	1.80985	1.688549	1.71123	3.256373	3.610059	2.945324	3.017303	2.101735	4.590798	4.247819	4.290169	3.883794	3.59817	3.078654	2.94476	3.412658	5.174119	5.385386	3.094876	3.242988	2.669623	2.786869	2.367533	3.225547	2.850252	2.842429	2.609156	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.379245	3.674668	3.261708	3.110453	3.838415	2.864504	3.556243	3.842508	4.186855	3.811124	4.426547	3.282711	3.191254	2.023206	3.51212	2.71941	3.027484	2.082642	1.542703	1.884987	1.849175	1.659544	2.160111	2.70024	1.61161	1.873955	1.702405	2.314035	2.879735	1.761798	2.000438	2.39129	2.849476	1.918657	1.634985	3.382666	4.596066	2.248097	1.909972	1.950931	2.746318	3.026948	1.925989	2.058529	1.641033	1.764856	1.911647	2.055179	1.857665	1.871366	1.771843	2.583573	2.395252	1.90452	1.610619	1.546704	3.672618	3.100147	2.070909	1.590186	2.45872	2.692665	2.529171	1.94948	1.715639	2.123094	2.447766	1.869512	1.901596	2.860721	3.129556	2.663175	3.683516	4.275345	2.492154	3.101618	4.483706	4.52855	5.071214	3.535888	5.327099	5.218927	4.749553	3.857276	5.585284	4.496767	4.136322	3.608255	3.667729	3.179056	3.085443	3.029637	2.492549	2.790414	5.881159	5.231669	4.723587	2.358752	1.984407	4.15757	4.390975	4.429844	3.024095	2.177845	3.499295	3.225785	2.931033	2.876757	2.248245	3.227508	3.4807	3.361839	4.756956	2.414012	2.848649	3.338325	3.356218	5.451943	4.097723
64	1.118362	1.321904	1.756793	1.880051	1.467633	1.087116	1.397031	1.889017	2.398508	1.761443	1.22976	1.117734	1.570548	3.67715	1.971811	1.316597	1.460019	2.214658	2.776698	2.101713	1.221341	1.463842	1.618172	1.936128	2.39642	1.783961	1.621793	2.254689	2.20333	1.761113	1.347886	1.668036	2.848295	2.474643	1.936919	1.452446	1.442043	2.480635	2.759982	2.069868	1.54166	1.376915	1.922582	2.454907	1.899396	1.510616	1.60753	1.789904	1.660896	1.693951	3.269324	3.628802	2.96585	3.025627	2.102205	4.626317	4.299309	4.33185	3.938297	3.626101	3.085438	2.947664	3.427143	5.232428	5.518257	3.097665	3.252069	2.673883	2.78944	2.366	3.230598	2.853314	2.842715	2.624581	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.379321	3.688366	3.276908	3.131505	3.857655	2.876222	3.565902	3.876705	4.198467	3.831683	4.454998	3.299741	3.236678	2.022889	3.518816	2.719891	3.037042	2.082642	1.542703	1.839736	1.823878	1.649948	2.104253	2.622754	1.586591	1.853632	1.677669	2.336354	2.829955	1.737468	2.002439	2.295865	2.90316	1.868886	1.623305	3.439536	4.534087	2.317221	1.911919	1.999038	2.797994	3.023769	1.907684	2.047817	1.597117	1.734199	1.83828	1.997522	1.762233	1.811594	1.748317	2.608937	2.334079	1.910169	1.569927	1.649744	3.880087	3.295022	2.055714	1.567706	2.394998	2.736213	2.494172	1.909712	1.630309	2.104401	2.367716	1.825319	1.876959	2.865523	3.131594	2.663175	3.687563	4.320055	2.492154	3.103151	4.496856	4.575719	5.153073	3.538373	5.392316	5.299126	4.797849	3.86498	5.644306	4.541529	4.148882	3.61737	3.679444	3.183311	3.091301	3.032814	2.492549	2.790414	5.944538	5.309321	4.796077	2.358752	1.984407	4.185287	4.439424	4.500187	3.043282	2.177845	3.507961	3.255497	2.94942	2.885452	2.248245	3.231137	3.480648	3.36956	4.863581	2.417937	2.855689	3.342419	3.373181	5.592582	4.17513
66	1.034002	1.226259	1.68524	1.836958	1.433729	1.068642	1.382147	1.869015	2.334159	1.702944	1.199827	1.110357	1.782171	3.414091	1.941967	1.238804	1.403443	2.315274	2.766156	2.138346	1.19504	1.438178	1.581711	1.9514	2.300722	1.774776	1.590492	2.178555	2.137909	1.741062	1.314086	1.722765	2.736914	2.382686	1.91229	1.432779	1.395189	2.497977	2.713113	2.0395	1.503347	1.336163	1.928714	2.455698	1.968625	1.478647	1.557062	1.750532	1.600223	1.660236	3.287923	3.644404	2.987069	3.029821	2.102205	4.629542	4.336033	4.354096	3.971877	3.661271	3.087913	2.947854	3.43648	5.324573	5.571237	3.098401	3.260472	2.68112	2.789388	2.370623	3.232754	2.855387	2.841739	2.630279	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.379321	3.702804	3.281581	3.133139	3.879889	2.889348	3.562991	3.943299	4.212718	3.841935	4.491697	3.320791	3.270898	2.024421	3.517709	2.720646	3.038655	2.082642	1.542703	1.762845	1.787102	1.575798	2.085112	2.654296	1.564064	1.802508	1.620117	2.239052	2.790544	1.699031	2.053755	2.388225	2.961336	1.862484	1.619084	3.169279	4.60944	2.291651	1.860831	1.957314	2.869136	2.993531	1.871654	2.00231	1.561894	1.694342	1.761126	1.911096	1.718452	1.784869	1.706883	2.493937	2.28107	1.840363	1.55675	1.77389	4.261367	3.353935	1.970598	1.579138	2.328898	2.741594	2.447386	1.882388	1.631904	2.02825	2.285443	1.782684	1.848038	2.881046	3.13178	2.663175	3.68984	4.353217	2.492154	3.104425	4.514095	4.621171	5.220649	3.538425	5.454931	5.4025	4.857282	3.885834	5.717302	4.61353	4.161869	3.619193	3.681749	3.187777	3.093901	3.036365	2.492549	2.790414	6.018104	5.408817	4.89292	2.358752	1.984407	4.213316	4.498216	4.629493	3.071787	2.177845	3.514249	3.269578	2.985592	2.902111	2.248245	3.22942	3.4807	3.379578	4.982983	2.416251	2.856662	3.344279	3.38379	5.757432	4.280935
