Gene,func,WG_Mut_BF,WG_WT_BF,group,pool_group
ADH7,NEG,-8.402,-10.5565,Normal,none
ADHFE1,Other,-5.469,3.1655,Enriched,both
ADI1,Other,-8.888,-9.418,Normal,none
ADIG,Other,-5.278,-8.885,Normal,none
ADIPOQ,Other,-7.547,-7.613,Normal,none
ADIPOR1,Other,-4.984,-8.681,Normal,none
ADIPOR2,Other,-7.38,-7.8675,Normal,none
ADIRF,Other,-6.46,-6.7725,Normal,none
ADK,Other,-7.399,-9.932,Normal,none
ADM,Other,-7.734,-10.2165,Normal,none
ADM2,Other,-3.43,-6.395,Normal,none
ADM5,Other,-6.187,-9.4395,Normal,none
ADNP,Other,-6.662,-9.518,Normal,none
ADNP2,Other,-0.429,-2.2515,Normal,none
ADO,Other,-7.098,-8.1215,Normal,none
ADORA1,Other,-3.277,-7.7385,Normal,none
ADORA2A,Other,-7.669,-8.15,Normal,none
ADORA2B,Other,-6.968,-8.9615,Normal,none
ADORA3,Other,-7.078,-9.0195,Normal,none
ADPGK,Other,-7.497,-9.9765,Normal,none
ADPRH,Other,4.684,4.085,Normal,none
ADPRHL1,Other,-2.923,-3.234,Normal,none
ADPRHL2,Other,1.194,-1.7135,Normal,none
ADPRM,Other,-1.717,-1.283,Normal,none
ADRA1A,Other,-8.524,-9.5525,Normal,none
ADRA1B,Other,-6.052,-5.3805,Normal,none
ADRA1D,Other,-6.499,-9.134,Normal,none
ADRA2A,Other,-2.055,-2.024,Normal,none
ADRA2B,Other,-5.631,-0.9355,Normal,none
ADRA2C,Other,-4.967,-4.737,Normal,none
ADRB1,Other,-1.514,-5.08,Normal,none
ADRB2,Other,-8.777,-8.4775,Normal,none
ADRB3,Other,-9.045,-8.0365,Normal,none
ADRM1,Other,10.119,-2.036,Depleted,bagel
ADSL,CEG,-2.97,-5.104,Normal,none
ADSS,CEG,-3.892,-6.143,Normal,none
ADSSL1,Other,-9.164,-9.846,Normal,none
ADTRP,Other,-5.3,-7.9305,Normal,none
AEBP1,Other,-10.353,-5.2945,Normal,none
AEBP2,Other,10.112,-0.204,Depleted,bagel
AEN,Other,-2.132,-6.7115,Normal,none
AES,Other,-11.559,-11.0955,Normal,none
AFAP1,Other,-5.927,-8.4285,Normal,none
AFAP1L1,Other,11.188,0.5575,Depleted,bagel
AFAP1L2,Other,-3.965,-9.409,Normal,none
AFDN,Other,-7.486,-8.4615,Normal,none
